dataset;pretty_name;preprocessA;batch_size;mean_acc;acc_std;mean_train_time(s);time_std;all_accs;all_times
MUTAG;MUTAG;;50;0.8620175361633301;0.07181662660151467;8.565252304077148;0.6733264304774963;[0.949999988079071, 0.800000011920929, 0.800000011920929, 0.8421052694320679, 0.8947368264198303, 0.9444444179534912, 0.8333333134651184, 0.7222222089767456, 0.9444444179534912, 0.8888888955116272];[7.588271617889404, 7.73903226852417, 7.87931227684021, 8.153547048568726, 8.64291000366211, 8.561056852340698, 8.98910927772522, 9.131303787231445, 9.307547330856323, 9.660432577133179]
PROTEINS;PROTEINS;;50;0.7553333342075348;0.036399021624074025;2897.991195178032;1059.5675795829736;[0.8066666722297668, 0.7666666507720947, 0.7266666690508524, 0.7733333508173624, 0.746666669845581, 0.7133333285649618, 0.700000007947286, 0.7400000095367432, 0.8199999928474426, 0.7599999904632568];[1246.2564754486084, 1244.583179473877, 1349.2076065540314, 3591.367369890213, 3589.368175506592, 3589.8543412685394, 3601.037936925888, 3601.1104698181152, 3584.4746799468994, 3582.6517169475555]
NCI1;NCI-1;;50;0.6633333325386048;0.09396216792085221;492.2095737218857;56.59107243523946;[0.47777776916821796, 0.6622222264607748, 0.7488888767030504, 0.6866666674613953, 0.6933333476384481, 0.7599999970859952, 0.6844444539811876, 0.4911111096541087, 0.6999999947018094, 0.7288888825310601];[484.56999015808105, 520.1231508255005, 398.9881329536438, 564.9598417282104, 482.04632925987244, 434.96339988708496, 569.8829963207245, 427.174840927124, 487.6677815914154, 551.7192735671997]
NCI109;NCI-109;;50;0.6095555577013227;0.09799496415107002;481.06759238243103;61.736511991252684;[0.4911111063427395, 0.6733333468437195, 0.5244444476233588, 0.533333334657881, 0.4844444427225325, 0.5377777715524038, 0.7266666756735908, 0.7200000021192763, 0.6800000071525574, 0.7244444423251681];[393.84526205062866, 533.5897161960602, 483.2410092353821, 432.30281472206116, 566.6227564811707, 411.9729733467102, 504.7496500015259, 509.40161395072937, 410.58093881607056, 564.3691890239716]
PTC_MM;PTC-MM;;50;0.6515430033206939;0.03932210011621282;30.428723096847534;18.587634351780597;[0.6470588445663452, 0.6764705777168274, 0.7352941036224365, 0.6764705777168274, 0.6470588445663452, 0.6470588445663452, 0.6176470518112183, 0.5757575631141663, 0.6363636255264282, 0.65625];[11.07661247253418, 11.273653507232666, 11.790701866149902, 43.72699809074402, 48.56748914718628, 51.11352562904358, 48.489802837371826, 52.534629344940186, 12.66481876373291, 13.048999309539795]
PTC_MR;PTC-MR;;50;0.560784313082695;0.06178458324472807;30.05274384021759;17.89544326784405;[0.6111111044883728, 0.5555555820465088, 0.5588235259056091, 0.4117647111415863, 0.5588235259056091, 0.5588235259056091, 0.5588235259056091, 0.5588235259056091, 0.5588235259056091, 0.6764705777168274];[11.219539642333984, 11.927901983261108, 45.03674077987671, 49.86174559593201, 48.15996527671814, 51.179906129837036, 45.04029321670532, 12.356723546981812, 12.788801670074463, 12.955820560455322]
PTC_FM;PTC-FM;;50;0.5842483729124069;0.05135891598995435;30.116996145248415;17.232431886122576;[0.5833333134651184, 0.5833333134651184, 0.6111111044883728, 0.6857143044471741, 0.6285714507102966, 0.48571428656578064, 0.5882353186607361, 0.5588235259056091, 0.529411792755127, 0.5882353186607361];[14.30103349685669, 51.345006227493286, 47.89138174057007, 47.512144565582275, 49.35263514518738, 39.39186906814575, 12.523329257965088, 12.43598198890686, 12.836208820343018, 13.580371141433716]
PTC_FR;PTC-FR;;50;0.6381746232509613;0.025556170171717085;33.97439227104187;17.448020105364595;[0.6388888955116272, 0.6571428775787354, 0.6571428775787354, 0.6000000238418579, 0.6000000238418579, 0.6571428775787354, 0.6000000238418579, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354];[48.14791989326477, 51.39973855018616, 48.09373474121094, 49.86400294303894, 38.17564558982849, 11.9584379196167, 12.329245805740356, 12.38137149810791, 15.659600973129272, 51.734224796295166]
ENZYMES;ENZYMES;;50;0.23099999949336053;0.05318834254105166;120.78536605834961;54.50335308795005;[0.1900000050663948, 0.3100000023841858, 0.17000000178813934, 0.1600000038743019, 0.17000000178813934, 0.23999999463558197, 0.22999999672174454, 0.29999999701976776, 0.26999999582767487, 0.26999999582767487];[182.86084365844727, 40.42221236228943, 172.89611077308655, 103.83083868026733, 89.37165832519531, 189.7842299938202, 41.367372274398804, 181.05368542671204, 96.76042199134827, 109.50628709793091]
